group,subject,teacher,day,slot,room
g101,math,ivanova,mon,2,r101
g101,alg,ivanova,mon,1,lab1
g101,prog,sidorov,tue,1,lab1
g101,english,kuznetsova,tue,2,r101
g101,physics,petrov,wed,2,r201
g101,economics,orlova,wed,1,r201
g102,physics,petrov,mon,1,r201
g102,math,ivanova,mon,3,r101
g102,db,sidorov,tue,2,lab1
g102,english,kuznetsova,tue,1,r101
g102,philosophy,kuznetsova,wed,2,r202
g102,networks,petrov,wed,1,lab1
g103,prog,sidorov,mon,2,lab1
g103,physics,petrov,mon,3,r201
g103,math,ivanova,tue,1,r102
g103,os,sidorov,tue,3,lab1
g103,philosophy,kuznetsova,wed,1,r202
g103,english,kuznetsova,wed,3,r101
g104,english,kuznetsova,mon,1,r101
g104,prog,sidorov,mon,3,lab1
g104,math,ivanova,tue,2,r102
g104,physics,petrov,tue,1,r201
g104,db,sidorov,wed,2,lab1
g104,economics,orlova,wed,3,r201
g105,economics,orlova,mon,1,r202
g105,philosophy,kuznetsova,mon,2,r201
g105,networks,petrov,tue,4,lab1
g105,prog,sidorov,tue,5,lab1
g105,math,ivanova,wed,1,r102
g105,english,kuznetsova,wed,4,r102
